card_no	is_active	card_category	network	last_updated
CARD00345	Y	CR	Meridian Primary	2025-01-07 00:00:00
CARD00763	Y	DB	Meridian Affiliate	2023-06-28 00:00:00
CARD00125	Y	CR	Meridian Primary	2020-12-09 00:00:00
CARD00679	Y	DB	Meridian Affiliate	2021-12-22 00:00:00
CARD00266	Y	DB	Meridian Direct	2025-12-15 00:00:00
CARD00311	Y	DB	Meridian Primary	2023-05-27 00:00:00
CARD00555	Y	CR	Meridian Direct	2022-04-07 00:00:00
CARD00782	Y	CR	Meridian Primary	2020-09-27 00:00:00
CARD00476	Y	CR	Meridian Affiliate	2023-08-15 00:00:00
CARD00354	Y	DB	Meridian Primary	2023-12-01 00:00:00
CARD00669	N	DB	Meridian Primary	2021-10-31 00:00:00
CARD00503	Y	CR	Meridian Primary	2020-05-17 00:00:00
CARD00382	Y	CR	Meridian Direct	2023-10-20 00:00:00
CARD00169	Y	DB	Meridian Primary	2021-05-14 00:00:00
CARD00698	N	CR	Meridian Primary	2024-04-08 00:00:00
CARD00100	Y	CR	Meridian Primary	2025-07-24 00:00:00
CARD00078	Y	DB	Meridian Primary	2022-11-23 00:00:00
CARD00084	Y	CR	Meridian Primary	2025-02-13 00:00:00
CARD00452	Y	CR	Meridian Primary	2023-08-04 00:00:00
CARD00422	Y	CR	Meridian Direct	2025-10-27 00:00:00
CARD00418	Y	DB	Meridian Primary	2021-03-28 00:00:00
CARD00205	Y	DB	Meridian Primary	2024-12-25 00:00:00
CARD00248	Y	CR	Meridian Affiliate	2021-08-22 00:00:00
CARD00079	Y	CR	Meridian Primary	2025-08-14 00:00:00
CARD00131	Y	CR	Meridian Primary	2022-02-16 00:00:00
CARD00342	Y	CR	Meridian Primary	2025-06-19 00:00:00
CARD00174	N	CR	Meridian Primary	2024-06-28 00:00:00
CARD00639	Y	CR	Meridian Primary	2025-03-20 00:00:00
CARD99571	N	CR	Meridian Primary	2025-08-11 00:00:00
CARD00218	Y	DB	Meridian Direct	2023-04-08 00:00:00
CARD00527	Y	CR	Meridian Primary	2021-12-22 00:00:00
CARD00589	Y	PP	Meridian Primary	2024-12-10 00:00:00
CARD00484 	Y	CR	Meridian Primary	2025-01-10 00:00:00
CARD00323	Y	DB	Meridian Primary	2022-05-17 00:00:00
CARD00012	Y	DB	Meridian Affiliate	2023-11-03 00:00:00
CARD00055	Y	CR	Meridian Primary	2019-12-26 00:00:00
CARD00159	N	CR	Meridian Primary	2025-01-09 00:00:00
CARD00542	Y	CR	Meridian Primary	2023-01-12 00:00:00
CARD00607	Y	DB	Meridian Primary	2023-01-11 00:00:00
CARD00380	Y	CR	Meridian Primary	2025-07-30 00:00:00
CARD00035	N	CR	Meridian Affiliate	2021-10-26 00:00:00
CARD00596	Y	DB	Meridian Primary	2023-06-04 00:00:00
CARD00388	Y	CR	Meridian Primary	2020-09-28 00:00:00
  CARD00045	Y	CR	Meridian Primary	2025-12-16 00:00:00
  CARD00280	Y	PP	Meridian Direct	2022-02-24 00:00:00
CARD00693	Y	CR	Meridian Primary	2024-04-26 00:00:00
CARD00251	Y	DB	Meridian Primary	2025-12-13 00:00:00
CARD00441	Y	DB	Meridian Affiliate	2025-08-09 00:00:00
CARD00256	Y	CR	Meridian Primary	2021-10-05 00:00:00
CARD00148	Y	PP	Meridian Primary	2020-10-18 00:00:00
CARD00623  	Y	CR	Meridian Primary	2024-02-20 00:00:00
CARD00511	N	CR	Meridian Primary	2021-01-02 00:00:00
CARD00524	Y	CR	Meridian Direct	2020-01-04 00:00:00
CARD00664	Y	DB	Meridian Primary	2022-01-21 00:00:00
CARD00117	Y	CR	Meridian Direct	2025-08-04 00:00:00
CARD00727	Y	CR	Meridian Primary	2022-11-08 00:00:00
CARD00576	Y	DB	Meridian Affiliate	2025-11-20 00:00:00
  CARD00666	N	CR	Meridian Primary	2019-11-28 00:00:00
CARD00147	Y	CR	Meridian Primary	2022-05-28 00:00:00
CARD99688	N	CR	Meridian Direct	2025-05-27 00:00:00
CARD00407	Y	DB	Meridian Primary	2025-12-24 00:00:00
CARD00686	N	CR	Meridian Primary	2021-08-18 00:00:00
CARD00775	Y	CR	Meridian Direct	2021-07-18 00:00:00
CARD00189	Y	CR	Meridian Primary	2025-09-19 00:00:00
  CARD00042	Y	DB	Meridian Primary	2019-10-12 00:00:00
CARD00391	Y	CR	Meridian Affiliate	2020-10-21 00:00:00
CARD00348	Y	DB	Meridian Affiliate	2024-10-21 00:00:00
CARD00062	Y	CR	Meridian Primary	2024-09-07 00:00:00
CARD00263	Y	DB	Meridian Primary	2023-12-12 00:00:00
CARD00259	Y	CR	Meridian Primary	2025-09-23 00:00:00
CARD00184	Y	CR	Meridian Direct	2024-10-06 00:00:00
CARD00428	Y	CR	Meridian Direct	2025-11-01 00:00:00
CARD99225	Y	PP	Meridian Direct	2025-12-04 00:00:00
CARD00129	Y	DB	Meridian Primary	2023-10-19 00:00:00
CARD00737	Y	CR	Meridian Primary	2022-09-12 00:00:00
CARD00565	Y	DB	Meridian Primary	2020-08-25 00:00:00
CARD00099	Y	CR	Meridian Primary	2020-06-01 00:00:00
CARD99812	N	DB	Meridian Direct	2025-12-09 00:00:00
CARD00202	Y	CR	Meridian Primary	2025-10-15 00:00:00
CARD00430	Y	CR	Meridian Primary	2025-05-24 00:00:00
CARD00550	Y	CR	Meridian Direct	2024-09-03 00:00:00
CARD00566	Y	CR	Meridian Primary	2025-10-07 00:00:00
CARD00271	Y	CR	Meridian Direct	2020-11-22 00:00:00
CARD00445	Y	DB	Meridian Direct	2025-07-29 00:00:00
CARD00787	Y	DB	Meridian Primary	2024-03-26 00:00:00
CARD00286	Y	CR	Meridian Primary	2020-08-17 00:00:00
CARD00377	Y	DB	Meridian Direct	2025-04-08 00:00:00
CARD00203	Y	DB	Meridian Primary	2025-01-04 00:00:00
CARD00477	Y	CR	Meridian Primary	2024-07-01 00:00:00
CARD00467	Y	CR	Meridian Primary	2024-03-27 00:00:00
CARD00183	Y	CR	Meridian Affiliate	2022-04-19 00:00:00
CARD00291	Y	PP	Meridian Primary	2020-05-27 00:00:00
CARD00290	Y	CR	Meridian Primary	2025-11-10 00:00:00
CARD00379	Y	DB	Meridian Direct	2025-03-24 00:00:00
CARD00653	N	DB	Meridian Primary	2023-08-18 00:00:00
CARD00616	Y	PP	Meridian Affiliate	2024-07-14 00:00:00
CARD00475	Y	CR	Meridian Primary	2025-04-30 00:00:00
CARD00219	Y	PP	Meridian Primary	2023-04-17 00:00:00
CARD00435	Y	DB	Meridian Primary	2020-04-17 00:00:00
CARD00425	N	CR	Meridian Primary	2021-01-12 00:00:00
CARD00569	Y	CR	Meridian Affiliate	2025-08-16 00:00:00
CARD00646	Y	CR	Meridian Direct	2023-01-04 00:00:00
CARD00549	Y	PP	Meridian Primary	2021-12-22 00:00:00
CARD00212	Y	PP	Meridian Direct	2020-08-05 00:00:00
CARD00685	Y	CR	Meridian Affiliate	2025-02-24 00:00:00
CARD00305	Y	PP	Meridian Direct	2024-04-01 00:00:00
CARD00446	Y	DB	Meridian Affiliate	2025-04-24 00:00:00
CARD00571	Y	PP	Meridian Primary	2025-08-12 00:00:00
CARD00613	Y	CR	Meridian Primary	2025-08-31 00:00:00
CARD00652  	Y	DB	Meridian Primary	2024-10-06 00:00:00
CARD00282	Y	CR	Meridian Primary	2024-01-21 00:00:00
CARD00614	Y	CR	Meridian Primary	2025-11-18 00:00:00
CARD00529	Y	DB	Meridian Primary	2025-09-19 00:00:00
CARD00634	Y	DB	Meridian Primary	2023-11-27 00:00:00
CARD00557	Y	PP	Meridian Primary	2024-12-21 00:00:00
  CARD00480	Y	CR	Meridian Primary	2024-02-24 00:00:00
CARD00687	Y	CR	Meridian Primary	2025-12-14 00:00:00
CARD00630	Y	DB	Meridian Primary	2025-09-19 00:00:00
CARD00432	Y	CR	Meridian Direct	2023-07-19 00:00:00
CARD00300	Y	CR	Meridian Primary	2025-12-15 00:00:00
CARD00746	Y	CR	Meridian Affiliate	2024-01-02 00:00:00
CARD00583	Y	PP	Meridian Primary	2025-10-10 00:00:00
CARD00180	Y	DB	Meridian Primary	2022-07-21 00:00:00
CARD00498	Y	CR	Meridian Primary	2025-08-13 00:00:00
CARD00136	Y	CR	Meridian Primary	2023-03-18 00:00:00
CARD00648	Y	DB	Meridian Primary	2023-09-11 00:00:00
CARD00493	Y	DB	Meridian Primary	2023-08-04 00:00:00
CARD00526	Y	CR	Meridian Primary	2022-07-06 00:00:00
CARD00278	Y	DB	Meridian Primary	2021-02-27 00:00:00
CARD00289	Y	PP	Meridian Primary	2024-12-01 00:00:00
CARD00539	Y	CR	Meridian Primary	2023-10-11 00:00:00
CARD00544	Y	DB	Meridian Primary	2025-09-18 00:00:00
CARD00053	Y	CR	Meridian Affiliate	2025-08-09 00:00:00
CARD00721	Y	CR	Meridian Affiliate	2025-07-08 00:00:00
CARD00439	Y	PP	Meridian Direct	2025-09-30 00:00:00
CARD00431	Y	DB	Meridian Primary	2024-09-04 00:00:00
  CARD00663	Y	CR	Meridian Primary	2024-06-03 00:00:00
CARD00017	Y	DB	Meridian Primary	2021-09-09 00:00:00
CARD00677	N	DB	Meridian Primary	2023-11-04 00:00:00
CARD00233	Y	CR	Meridian Primary	2023-05-24 00:00:00
CARD00726	Y	CR	Meridian Direct	2021-06-06 00:00:00
CARD00591	Y	CR	Meridian Primary	2019-06-30 00:00:00
CARD00302	Y	PP	Meridian Primary	2025-12-28 00:00:00
CARD00236	N	DB	Meridian Direct	2025-04-20 00:00:00
CARD00387	Y	DB	Meridian Primary	2025-07-27 00:00:00
CARD00633	Y	CR	Meridian Primary	2024-11-06 00:00:00
CARD00072	Y	CR	Meridian Primary	2025-08-23 00:00:00
CARD00563	Y	DB	Meridian Primary	2021-01-31 00:00:00
CARD00201	Y	CR	Meridian Primary	2025-10-25 00:00:00
CARD00206	Y	DB	Meridian Primary	2025-05-03 00:00:00
CARD00747	Y	DB	Meridian Primary	2023-11-12 00:00:00
CARD00773	Y	DB	Meridian Primary	2020-08-25 00:00:00
CARD00285	Y	PP	Meridian Primary	2022-09-27 00:00:00
CARD00464	Y	CR	Meridian Primary	2024-11-30 00:00:00
CARD00337	Y	DB	Meridian Direct	2024-03-26 00:00:00
CARD00051	Y	CR	Meridian Affiliate	2022-10-19 00:00:00
CARD00102	Y	CR	Meridian Primary	2021-05-03 00:00:00
CARD00601	N	CR	Meridian Primary	2022-05-26 00:00:00
CARD00220	Y	CR	Meridian Direct	2020-07-24 00:00:00
CARD00366	Y	DB	Meridian Primary	2022-01-28 00:00:00
CARD00151	Y	DB	Meridian Primary	2023-10-21 00:00:00
CARD00675	Y	CR	Meridian Primary	2022-12-14 00:00:00
CARD00424	Y	PP	Meridian Primary	2022-10-15 00:00:00
CARD00426	Y	DB	Meridian Primary	2025-08-23 00:00:00
CARD00637	Y	CR	Meridian Primary	2025-12-12 00:00:00
CARD00026	Y	PP	Meridian Direct	2024-02-09 00:00:00
CARD00390	Y	DB	Meridian Direct	2025-09-01 00:00:00
CARD00799	Y	CR	Meridian Direct	2022-07-23 00:00:00
CARD00138	Y	PP	Meridian Direct	2019-12-28 00:00:00
CARD00269	Y	CR	Meridian Primary	2025-09-07 00:00:00
CARD00415	Y	DB	Meridian Primary	2020-12-21 00:00:00
CARD00793	Y	CR	Meridian Primary	2025-02-05 00:00:00
CARD00593	Y	CR	Meridian Primary	2021-07-29 00:00:00
CARD00172	Y	PP	Meridian Direct	2022-09-23 00:00:00
CARD00709	Y	DB	Meridian Primary	2020-01-05 00:00:00
CARD00235	Y	CR	Meridian Primary	2021-01-18 00:00:00
CARD00068	Y	CR	Meridian Direct	2025-03-20 00:00:00
CARD00459	Y	CR	Meridian Primary	2025-12-12 00:00:00
CARD00234	Y	CR	Meridian Primary	2022-04-10 00:00:00
CARD00104 	Y	DB	Meridian Primary	2025-11-14 00:00:00
CARD00106	N	DB	Meridian Primary	2025-09-02 00:00:00
CARD00659	Y	CR	Meridian Primary	2022-07-10 00:00:00
CARD00771	Y	DB	Meridian Primary	2025-08-21 00:00:00
CARD00655	Y	CR	Meridian Primary	2023-02-16 00:00:00
CARD00037	Y	PP	Meridian Primary	2023-04-02 00:00:00
CARD00013	Y	CR	Meridian Direct	2025-02-03 00:00:00
CARD00521  	Y	CR	Meridian Primary	2025-08-09 00:00:00
CARD00567	Y	DB	Meridian Primary	2021-04-06 00:00:00
CARD00058	Y	CR	Meridian Primary	2025-11-02 00:00:00
